
NOMI                        NBI        NBP                                      
-------------------- ---------- ----------                                      
Adrian                        4         11                                      
Thomas                        2          1                                      
Myriam                        1          0                                      
Jacques                       1          1                                      
Toto                          1          0                                      
Patrick                       1          3                                      
Jackie                        1          1                                      
Phil                          1          1                                      
Malou                         1          3                                      
Marie                         3          0                                      

10 rows selected.

