SQL> select C.numc, max(E.rang)+1 as rang, varr, 0 as nbjours	--R2
  2  						from agence.lescircuits C join agence.lesetapes E on (C.numc=E.numc)
  3  						group by C.numc, varr;

      NUMC       RANG VARR                    NBJOURS                           
---------- ---------- -------------------- ----------                           
         4          2 Paris                         0                           
        18          6 Paris                         0                           
        20          2 Briancon                      0                           
         7          6 Hoedic                        0                           
        15          5 Paris                         0                           
         6          2 Paris                         0                           
         8          4 Besse                         0                           
         9          7 Paris                         0                           
         2          2 Paris                         0                           
         5          2 Lyon                          0                           
         1          2 Paris                         0                           

      NUMC       RANG VARR                    NBJOURS                           
---------- ---------- -------------------- ----------                           
        13          9 Paris                         0                           
        14          8 Reykjavik                     0                           
        17         10 Lisbonne                      0                           
        10          8 Cork                          0                           
         3          2 Paris                         0                           
        16          9 Paris                         0                           
        21         14 Rome                          0                           
        11          8 Shannon                       0                           
        12          8 Dublin                        0                           
        19         14 Rome                          0                           

21 rows selected.

SQL> spool off;
